min_gain,actual_positives,quality_threshold,table_policy,fast_rate,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
0.02,74,44.0,no_tables,0.972851,2,4,72,143,0.333333,0.027027,0.05,0.033113,0.027149
0.02,74,46.0,no_tables,0.972851,2,4,72,143,0.333333,0.027027,0.05,0.033113,0.027149
0.02,74,48.0,no_tables,0.972851,2,4,72,143,0.333333,0.027027,0.05,0.033113,0.027149
0.02,74,50.0,no_tables,0.968326,2,5,72,142,0.285714,0.027027,0.049383,0.033003,0.031674
0.02,74,52.0,no_tables,0.963801,2,6,72,141,0.25,0.027027,0.04878,0.032895,0.036199
0.02,74,54.0,no_tables,0.954751,2,8,72,139,0.2,0.027027,0.047619,0.03268,0.045249
0.02,74,56.0,no_tables,0.954751,2,8,72,139,0.2,0.027027,0.047619,0.03268,0.045249
0.02,74,58.0,no_tables,0.945701,4,8,70,139,0.333333,0.054054,0.093023,0.064935,0.054299
0.02,74,60.0,no_tables,0.945701,4,8,70,139,0.333333,0.054054,0.093023,0.064935,0.054299
0.02,74,62.0,no_tables,0.941176,5,8,69,139,0.384615,0.067568,0.114943,0.080906,0.058824
0.02,74,64.0,no_tables,0.927602,6,10,68,137,0.375,0.081081,0.133333,0.096154,0.072398
0.02,74,66.0,no_tables,0.895928,9,14,65,133,0.391304,0.121622,0.185567,0.141066,0.104072
0.02,74,68.0,no_tables,0.895928,9,14,65,133,0.391304,0.121622,0.185567,0.141066,0.104072
0.02,74,70.0,no_tables,0.891403,10,14,64,133,0.416667,0.135135,0.204082,0.15625,0.108597
0.02,74,72.0,no_tables,0.891403,10,14,64,133,0.416667,0.135135,0.204082,0.15625,0.108597
0.02,74,74.0,no_tables,0.868778,10,19,64,128,0.344828,0.135135,0.194175,0.153846,0.131222
0.02,74,76.0,no_tables,0.859729,10,21,64,126,0.322581,0.135135,0.190476,0.152905,0.140271
0.02,74,78.0,no_tables,0.837104,11,25,63,122,0.305556,0.148649,0.2,0.165663,0.162896
0.02,74,80.0,no_tables,0.828054,12,26,62,121,0.315789,0.162162,0.214286,0.179641,0.171946
0.02,74,82.0,no_tables,0.819005,12,28,62,119,0.3,0.162162,0.210526,0.178571,0.180995
0.02,74,84.0,no_tables,0.79638,15,30,59,117,0.333333,0.202703,0.252101,0.219941,0.20362
0.02,74,86.0,no_tables,0.733032,21,38,53,109,0.355932,0.283784,0.315789,0.295775,0.266968
0.02,74,88.0,no_tables,0.696833,22,45,52,102,0.328358,0.297297,0.312057,0.30303,0.303167
0.02,74,90.0,no_tables,0.642534,24,55,50,92,0.303797,0.324324,0.313725,0.32,0.357466
0.02,74,92.0,no_tables,0.60181,27,61,47,86,0.306818,0.364865,0.333333,0.351562,0.39819
0.02,74,94.0,no_tables,0.570136,31,64,43,83,0.326316,0.418919,0.366864,0.396419,0.429864
0.05,53,40.0,all_tables,0.461538,42,77,11,91,0.352941,0.792453,0.488372,0.634441,0.538462
0.05,53,42.0,all_tables,0.461538,42,77,11,91,0.352941,0.792453,0.488372,0.634441,0.538462
0.05,53,44.0,all_tables,0.457014,42,78,11,90,0.35,0.792453,0.485549,0.63253,0.542986
0.05,53,46.0,all_tables,0.457014,42,78,11,90,0.35,0.792453,0.485549,0.63253,0.542986
0.05,53,48.0,all_tables,0.457014,42,78,11,90,0.35,0.792453,0.485549,0.63253,0.542986
0.05,53,50.0,all_tables,0.452489,42,79,11,89,0.347107,0.792453,0.482759,0.630631,0.547511
0.05,53,52.0,all_tables,0.447964,42,80,11,88,0.344262,0.792453,0.48,0.628743,0.552036
